name,description,paralog
group_2996,bacteriocin immunity proteinEnterocin A Immunity,1
rpoB_1~~~rpoB_2~~~rpoB,DNA-directed RNA polymerase subunit betaDNA-directed RNA polymerase subunit betaDNA-directed RNA polymerase subunit betaDNA-directed RNA polymerase beta subunitRNA polymerase Rpb2 domain 7,1
rpsA_1,transposase-like protein ISSpn1 ISSpn3Integrase core domain,1
comA_1,response regulatorCompetence protein Atranscriptional regulator NarLATP-dependent transcriptional regulatortranscriptional regulator EpsABacterial regulatory proteins luxR family,0
group_4589,phage protein,1
group_4797,bacteriocin lactococcin 972 familybacteriocin lactococcin 972 familyBacteriocin (Lactococcin_972),1
lanM,Lanthionine biosynthesis protein LanMLantibiotic modifying enzymetype 2 lantibiotic biosynthesis protein LanMLanthionine synthetase C-like protein,1
pyrF,orotidine-5-phosphate decarboxylaseOrotidine 5'-phosphate decarboxylaseorotidine 5'-phosphate decarboxylaseOrotidine-5'-phosphate decarboxylaseorotidine 5'-phosphate decarboxylaseOrotidine 5'-phosphate decarboxylase / HUMPS family,1
group_4658,zinc finger proteinDNA replication protein dnaCDNA replication protein DnaCDNA replication proteinchromosomal replication initiator protein DnaAIstB-like ATP binding protein,1
spxA_7~~~spxA_5~~~spxA_3,arsenate reductase-like glutaredoxin family proteinRegulatory protein spxtranscriptional regulator Spx,1
group_897,dGTP triphosphohydrolaseHD domain,0
group_112,VanZ family proteinPredicted integral membrane proteinVanZ like family,1
IS861truncation~~~~~~IS861truncation_3~~~IS861truncation_2~~~IS861truncation_1~~~parE_1,degenerate transposase (Orf1),1
group_2500,cell surface-anchored thioredoxinputative bacteriocin transport accessory protein,0
atpE,F0F1 ATP synthase subunit CLipid-binding proteinF0F1 ATP synthase subunit CATP synthase F0 C subunitATP synthase subunit C,1
pezT_2~~~pezT_1~~~pezT_3~~~pezT_5~~~~~~pezT~~~pezT_4,zeta toxinUDP-N-acetylglucosamine kinaseZeta toxin,1
group_484,hypothetical protein,0
gsiA~~~gsiA_2~~~gsiA_1,glutathione import ATP-binding protein GsiAGlutathione import ATP-binding protein GsiAdipeptide transporter ATP-binding subunitABC-type oligopeptide transport system ATPase componentnickel import ATP-binding protein NikEABC transporter,0
group_1188,glycosyl hydrolase-like protein,1
group_1469,phage antirepressor KilAC domain-containing proteinUncharacterized phage-encoded proteinPhage antirepressor protein KilAC domain,1
group_1783,transposase-like protein ISSpn_AP200_1Transposase,1
hsdS_2~~~hsdS_1~~~~~~hsdS_3~~~hsdS,type I restriction-modification system S proteinEcoKI restriction-modification system protein HsdSType I restriction modification DNA specificity domain,1
cps2T~~~wchF,rhamnosyl transferase WchFDomain of unknown function (DUF1972),0
group_995,putative asparagine synthetaseAsparagine synthase (glutamine-hydrolyzing)asparagine synthase (glutamine-hydrolyzing)Asparagine synthase,0
yjjK_2~~~ssuB~~~artM_1~~~ecfA1_1~~~artM_3~~~artM_4~~~artM_2~~~drrA_2,multidrug ABC transporter ATPaseArginine transport ATP-binding protein ArtMD-ribose transporter ATP binding proteinABC-type Na+ transport system ATPase componentdaunorubicin resistance ABC transporter ATP-binding proteinABC transporter,1
phtD~~~phtD_2~~~~~~phtA_2~~~phtD_1~~~phpA~~~phtA~~~phtA_1~~~phpA_1~~~phtD_3,streptococcal histidine triad protein PhpAstreptococcal histidine triad proteinStreptococcal histidine triad protein,1
group_649,gp24,1
group_4971,cytosolic proteinDomain of unknown function (DUF1827),1
group_4415,hypothetical protein,1
macB_1~~~~~~macB_3~~~macB_4,ABC transporter ATP-binding proteinMacrolide export ATP-binding/permease protein MacBmacrolide transporter ATP-binding /permease proteinPredicted ABC-type transport system involved in lysophospholipase L1 biosynthesis ATPase componentputative bacteriocin export ABC transporter lactococcin 972 groupABC transporter,1
hsdS_2~~~hsdS_3~~~hsdS_1~~~hsdS,type I restriction enzymeType I restriction modification DNA specificity domain,1
araC,DNA-binding response regulatorUncharacterized response regulatory protein SA0215DNA-binding transcriptional regulator AraCResponse regulator containing a CheY-like receiver domain and a GGDEF domainYSIRK-targeted surface antigen transcriptional regulatorResponse regulator receiver domain,0
glpE,rhodanese-like domain-containing proteinThiosulfate sulfurtransferase glpEmolybdopterin biosynthesis protein MoeBUncharacterized conserved proteintRNA 2-selenouridine synthaseRhodanese-like domain,1
group_563,putative single-strand binding protein,0
group_3867,transposase,0
group_1347,YrzBhypothetical proteinhypothetical proteinUncharacterized protein conserved in bacteriaProtein of unknown function (DUF1292),1
comB_1~~~comB,competence factor transport protein ComBLactococcin A secretion protein lcnDbacteriocin secretion accessory protein,1
ohrR,MarR family transcriptional regulatorOrganic hydroperoxide resistance transcriptional regulatorPredicted transcriptional regulatorhomoprotocatechuate degradation operon regulator HpaRMarR family,1
treR~~~treR_1~~~treR_2,trehalose operon repressorTrehalose operon transcriptional repressorDNA-binding transcriptional repressor MngRtrehalose operon repressorUTRA domain,1
alkDtruncation,DNA alkylation repair enzyme truncation,1
IS861truncation~~~~~~IS861truncation_3~~~IS861truncation_2~~~IS861truncation_1~~~parE_1,degenerate transposase (orf2),1
group_3842,glycosyl transferase family 8,0
group_3530,membrane protein,1
group_1430,tRNA synthetaseAmino acid--[acyl-carrier-protein] ligase 1hypothetical proteinserine--tRNA ligase,0
group_462,phage minor structural protein,1
phtA_1~~~gatC_2~~~gatC_3~~~IS1381truncation~~~phtD~~~transposase_C_1~~~phtD_2~~~phtA~~~phtD_1~~~phpA~~~gatC_1~~~ptsI_1,PTS system IIC component GatCgalactitol-specific IIC componentPTS system galactitol-specific EIIC componentPTS system galactitol-specific IIC componentPTS system sugar-specific permease component,1
ply_3,pneumolysinThiol-activated cytolysinThiol-activated cytolysin,0
yecS_2~~~yecS_4~~~yecS_1~~~tcyB_2,ABC-type amino acid transporter membrane-spanning permeaseInner membrane amino-acid ABC transporter permease protein yecSamino acid ABC transporter permeaseABC-type amino acid transport system permease componentectoine/hydroxyectoine ABC transporter permease protein EhuCBinding-protein-dependent transport system inner membrane component,1
group_3080,helicaseUncharacterized conserved protein,0
group_1357,major facilitator superfamily permeaseMajor Facilitator Superfamily,1
group_4082,transposase,0
group_342,protein YdcDhypothetical proteinPredicted membrane proteinProtein of unknown function (DUF1393),1
wzx_2,transporter,0
eps9G_1~~~eps9G_2,Eps9GSpore coat protein SAlipopolysaccharide 12-N-acetylglucosaminetransferaseGlycogen synthaseglycosyltransferase GG-Bacteroidales peptide systemGlycosyl transferases group 1,0
PTSEIIC_1~~~PTSEIIC_2~~~PTSEIIC,PTS system IIC componentPTS system mannose-specific transporter subunit IICPhosphotransferase system mannose/fructose/N-acetylgalactosamine-specific component IICPTS system mannose/fructose/sorbose family IIC componentPTS system sorbose-specific iic component,1
transposase_C~~~transposase_C_1,degenerate transposase,1
iga~~~igA~~~zmpD_2~~~zmpA~~~igA_2~~~iga_3~~~zmpD~~~zmpB_3~~~zmpB_1~~~zmpB_2~~~zmpB_4~~~iga_2~~~iga_4~~~zmpA_2~~~zmpA_1~~~iga_1~~~igA_1~~~iga_5~~~iga_6,immunoglobulin A1 proteaseImmunoglobulin A1 protease precursorM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
iga~~~igA~~~zmpD_2~~~zmpA~~~igA_2~~~iga_3~~~zmpD~~~zmpB_3~~~zmpB_1~~~zmpB_2~~~zmpB_4~~~iga_2~~~iga_4~~~zmpA_2~~~zmpA_1~~~iga_1~~~igA_1~~~iga_5~~~iga_6,IgA-proteaseImmunoglobulin A1 protease precursorUncharacterized protein conserved in bacteriagram-positive signal peptide YSIRK familyM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
group_1128,hypothetical protein,0
aliA~~~aliA_1~~~~~~aliA_2,oligopeptide ABC transporter oligopeptide-binding protein AliA76 kDa cell surface lipoproteinoligopeptide ABC transporter substrate-binding protein OppAABC-type oligopeptide transport system periplasmic componentnickel ABC transporter nickel/metallophore periplasmic binding proteinBacterial extracellular solute-binding proteins family 5 Middle,1
group_4956,DNA methylase,0
nanA_2~~~nanA_3~~~nanA_1,sialidase A (neuraminidase A)Sialidase A precursor,1
yhdY_2~~~yhdY~~~~~~artQ_1,polar amino acid ABC transporter permeaseInner membrane amino-acid ABC transporter permease protein yhdYamino acid ABC transporter permeaseABC-type amino acid transport system permease componentectoine/hydroxyectoine ABC transporter permease protein EhuCBinding-protein-dependent transport system inner membrane component,0
azr_1~~~azr_2,flavin reductaseFMN-dependent NADPH-azoreductasePredicted flavoproteinNADPH-dependent FMN reductase,1
group_1782,transposaseTransposase,1
bioY2~~~bioY2_1,biotin synthaseBiotin ECF transporter S component BioY2BioY family,1
blaSE~~~lytA_5~~~blaSE_2~~~~~~lytA_2~~~lytA_3,choline binding protein GAutolysinglucan-binding repeatPutative cell wall binding repeat,0
group_2850,KilA domain-containing proteinKilA-N domain,0
bag_1,IgA-binding beta antigenBeta antigengram-positive signal peptide YSIRK familyYSIRK type signal peptide,0
pbp3_2~~~pbp3,D-alanyl-D-alanine carboxypeptidaseD-alanyl-D-alanine carboxypeptidase dacA precursorD-alanyl-D-alanine endopeptidaseD-alanyl-D-alanine carboxypeptidase,0
dinG_2,ATP-dependent helicase DinGProbable ATP-dependent helicase dinG homologbifunctional ATP-dependent DNA helicase/DNA polymerase III subunit epsilonputative DnaQ family exonuclease/DinG family helicase,0
ybbH_2~~~ybbH_1,phosphosugar-binding transcriptional regulatorUncharacterized HTH-type transcriptional regulator ybbHDNA-binding transcriptional repressor RpiR6-phospho 3-hexuloisomeraseSIS domain,1
group_4984,degenerate transposase,0
pezT_4~~~pezA_1~~~pezA_3~~~pezT_2~~~pezA_2~~~nanA_2~~~~~~pezA_4~~~hlyB_3~~~lagD_3~~~hlyB_2~~~lagD_1~~~lagD_2~~~lagD_4~~~hlyB_1,transcriptional regulatorAntitoxin PezAanaerobic benzoate catabolism transcriptional regulatorPredicted transcriptional regulatorputative zinc finger/helix-turn-helix protein YgiT familyZeta toxin,0
msbA_2~~~irtA~~~irtA_1~~~msbA_3~~~~~~irtA_2~~~irtB_2,ABC transporter ATP-binding protein/permeaseIron import ATP-binding/permease protein IrtAcyclic beta-12-glucan ABC transporterABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainthiol reductant ABC exporter CydD subunitABC transporter,0
group_1626,hypothetical protein,1
group_2008,DNA-binding proteinAntitoxin HipBanaerobic benzoate catabolism transcriptional regulatorPredicted transcriptional regulatortranscriptional regulator y4mF familyHelix-turn-helix,0
transposase_D_1~~~transposase_D~~~cysK_2~~~transposase_D_2~~~cysK_1,transposase,1
gcp,putative DNA-binding/iron metalloprotein/AP endonucleaset(6)A37 threonylcarbamoyladenosine biosynthesis proteinUGMP family proteinTranscription initiation factor TFIID subunit TAF12 (also component of histone acetyltransferase SAGA)putative glycoprotease GCPGlycoprotease family,1
phtD_1~~~phtD~~~yfnA_2~~~yfnA_1~~~phtD_2~~~phpA_2,amino acid permease family proteinLysine-specific permeaseS-methylmethionine transporterAmino acid transportersamino acid transporterAmino acid permease,0
pinR_1,resolvase family site-specific recombinasePutative DNA-invertase from lambdoid prophage Racmultiple promoter invertaseTransposase and inactivated derivativesResolvase N terminal domain,0
group_364,membrane protein,1
group_3444,Nucleotidyl transferase of unknown function (DUF1814),0
group_1303,hypothetical protein,0
pezA_4~~~pezA_1,transposaseTransposase and inactivated derivatives,1
nanA_3~~~nanA_2~~~nanA_1~~~nanA_4,IS1167 transposaseTransposase and inactivated derivativesTransposase,1
group_3768,putative metal-dependent membrane protease,0
group_3687,putative plasmid partition proteinCO dehydrogenase maturation factorCobQ/CobB/MinD/ParA nucleotide binding domain,0
yhjX~~~oxlT, oxalate:formate antiporterInner membrane protein yhjXArabinose efflux permeaseoxalate/formate antiporter family transporterMajor Facilitator Superfamily,1
zmpC~~~zmpC_2~~~zmpC_1,zinc metalloprotease ZmpCImmunoglobulin A1 protease precursorM26 IgA1-specific Metallo-endopeptidase C-terminal region,0
group_2846,phage protein,0
msbA_2~~~bmrA~~~lmrA_2~~~lmrA_3~~~yheH_1~~~msbA_1,ABC transporter ATP-binding protein/permeaseLipid A export ATP-binding/permease protein MsbAlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainABC transporter permease/ATP-binding proteinRecF/RecN/SMC N terminal domain,1
group_2375,phage protein,1
blaSE~~~lytA_3~~~srtA_1~~~lytA_2~~~lytA_5~~~blaSE_1~~~lytA_1,hypothetical protein,1
lepA_2~~~lepA_1,GTP-binding protein LepAElongation factor 4GTP-binding protein LepAPhosphotransferase system galactitol-specific IIB componentGTP-binding protein LepAGTP-binding protein LepA C-terminus,0
group_538,capsular polysaccharide biosynthesis protein Cps4HUDP-D-galactose:(glucosyl)lipopolysaccharide-16-D-galactosyltransferaseGlycogen synthasesugar transferase PEP-CTERM/EpsH1 system associatedGlycosyl transferases group 1,0
group_4796,putative transcription antiterminator BglG family proteinHTH domain,0
group_3635,integral membrane proteinVIT family,0
ycjO_2,protein LplBInner membrane ABC transporter permease protein ycjOglycerol-3-phosphate transporter permeaseABC-type polysaccharide transport system permease componentputative 2-aminoethylphosphonate ABC transporter permease proteinBinding-protein-dependent transport system inner membrane component,1
yhbU_3~~~yhbU_1~~~fokIM_1~~~yhbU~~~yhbU_2,peptidase U32 family,1
macB_3~~~macB_2,ABC transporter permeaeMacrolide export ATP-binding/permease protein MacBmacrolide transporter ATP-binding /permease proteinMacB-like periplasmic core domain,1
transposase_D_1~~~transposase_D~~~cysK_2~~~transposase_D_2~~~cysK_1,glycyl-tRNA synthetase subunit alpha,1
group_1960,S1 RNA-binding domain-containing protein,0
group_405,hypothetical protein,0
group_2517,phage proteinProtein of unknown function (DUF1351),0
hsdR_1~~~hsdR_2~~~hsdR_3~~~hsdR,type I restriction-modification system R subunittype I restriction enzyme EcoKI subunit RDomain of unknown function (DUF3559),1
potH~~~cysW~~~ydcU~~~modB~~~potH_1,iron ABC transporter permeaseMolybdenum transport system permease protein modBmolybdate ABC transporter permease proteinABC-type molybdate transport system permease componentNifC-like ABC-type porterBinding-protein-dependent transport system inner membrane component,1
gapA_2~~~gapA_1,glyceraldehyde 3-phosphate dehydrogenaseGlyceraldehyde-3-phosphate dehydrogenaseglyceraldehyde-3-phosphate dehydrogenase Aglyceraldehyde-3-phosphate dehydrogenase type IGlyceraldehyde 3-phosphate dehydrogenase NAD binding domain,0
pezT_1,IS1167 transposaseTransposase and inactivated derivativesTransposase,1
ypdA~~~hk07~~~ypdA_1,histidine kinaseInner membrane protein ypdAPredicted signal transduction protein with a C-terminal ATPase domainHistidine kinase,1
group_1625,Tn5252 Orf28N-acetylmuramoyl-L-alanine amidaseCHAP domain,0
group_2537,chlorohydrolase,1
group_2579,IS1167 transposaseTransposase and inactivated derivatives,1
group_3947,chlorohydrolase,0
ccpA_1~~~ccpA_2,catabolite control protein AGlucose-resistance amylase regulatorDNA-binding transcriptional regulator CytRcatabolite control protein APeriplasmic binding proteins and sugar binding domain of LacI family,1
parE_1~~~~~~trmK_1~~~IS861truncation_2,IS3-Spn1 transposase truncationIntegrase core domain,1
comEA~~~celB~~~celB_1~~~celB_2~~~comEC,competence proteinComE operon protein 1comEA proteinSLBB domain,1
ykoD_1~~~ykoD_2~~~artM_2,cobalt ABC transporter ATPaseArginine transport ATP-binding protein ArtMputative ATPase RILABC-type Na+ transport system ATPase componentputative bacteriocin export ABC transporter lactococcin 972 groupABC transporter,1
group_4913,hypothetical protein,0
psrP~~~gspB~~~coaBC_1,cell wall surface anchor family proteinSerine-rich repeat protein GspBserine-rich repeat adhesion glycoprotein,0
group_1585,IS1167 transposaseTransposase and inactivated derivatives,1
group_1187,phosphotransferase system sugar-specific EII componentPTS system galactitol-specific transporter subunit IIAPhosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2,1
relA_2,GTP pyrophosphokinaseGTP pyrophosphokinaseGuanosine polyphosphate pyrophosphohydrolases/synthetasesRelA/SpoT family protein,0
ybbL~~~bmrA_2~~~~~~msbA_3~~~bmrA~~~msbA_1,ABC transporter ATP-binding proteinABC-type siderophore export system fused ATPase and permease componentsABC transporter transmembrane region,1
xlyA~~~~~~xlyA_1~~~xlyA_2,LysM domain-containing proteinN-acetylmuramoyl-L-alanine amidase XlyA precursorautolysinLysM domain,1
group_370,degenerate transposaseTransposase,1
lrp_1~~~lrp_2,collagen-binding protein APredicted outer membrane proteinGram positive anchor,1
pezT_3~~~pezT_5,hypothetical protein,1
glcR_1~~~glpR~~~~~~glcR,regulator of fucose operonDNA-binding transcriptional regulator AgaRDeoR-like helix-turn-helix domain,1
group_4780,uncharacterized protein YhcH/YjgK/YiaL familyDomain of unknown function (DUF386),1
group_4138,conserved structural protein putative,0
group_4187,phosphatidate cytidylyltransferasePhosphatidate cytidylyltransferaseCDP-diglyceride synthasePredicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferaseCytidylyltransferase family,1
codA_1~~~codA_2~~~codA,cytidine/deoxycytidylate deaminasecytidine deaminaseCytidine deaminasecytidine deaminaseCytidine and deoxycytidylate deaminase zinc-binding region,0
group_2683,transposase,1
group_1115,phage membrane protein,1
nanA_2~~~nanA_4~~~nanA_3~~~pezT_2~~~atpB_1~~~atpB_2,ATP synthase F0 subunit AF-ATPase subunit 6F0F1 ATP synthase subunit ATransposase and inactivated derivatives IS30 familyATP synthase F0 A subunitATP synthase A chain,1
phoU_2~~~phoU_1~~~phoU_3~~~phoU_4,sodium-dependent phosphate transportertranscriptional regulator PhoUNa/Pi-cotransporter II-related proteinNa+/Pi-cotransporter,1
yrrK,holiday junction resolvasePutative Holliday junction resolvaseHolliday junction resolvase-like proteinRNAse H domain protein YqgF familyUncharacterised protein family (UPF0081),1
group_1604,phage major capsid protein HK97 familyPhage capsid family,0
licR_1~~~~~~licR_3~~~cmtB,transcriptional regulator BglG family,1
pcp_1~~~pcp_2~~~pcptruncation~~~pcptruncation_2~~~pcptruncation_1,pyrrolidone-carboxylate peptidasePyrrolidone-carboxylate peptidasepyrrolidone-carboxylate peptidasePyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)pyroglutamyl-peptidase IPyroglutamyl peptidase,1
supH,hydrolaseSugar phosphatase SupHsugar phosphate phosphatasePredicted hydrolase (HAD superfamily)Cof-like hydrolasehaloacid dehalogenase-like hydrolase,0
group_1294,bacteriophage maturation proteasephage prohead protease HK97 familyCaudovirus prohead protease,0
group_834,universal stress proteinPutative universal stress protein SAV1710universal stress protein UspEUniversal stress protein family,1
group_1187,PTS system transporter subunit IIAPTS system galactitol-specific transporter subunit IIAPTS IIA-like nitrogen-regulatory protein PtsNPhosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2,1
msbA_2~~~irtA~~~irtA_1~~~msbA_3~~~~~~irtA_2~~~irtB_2,ABC transporter ATP-binding protein/permeaseLipid A export ATP-binding/permease protein MsbAlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainlipid A export permease/ATP-binding protein MsbAABC transporter,0
mngB~~~mngB_1~~~~~~mngB_3~~~mngB_2,alpha mannosidaseMannosylglycerate hydrolasealpha-mannosidaseAlpha-mannosidaseAlpha mannosidase middle domain,1
lytA_2~~~lytB_1~~~lytA_3~~~lytA_5~~~lytA_6~~~lytB_3~~~lytA_8~~~lytB_4~~~lytB_5,choline binding protein E CbpEAutolysinBeta- N-acetylglucosaminidaseglucan-binding repeatPutative cell wall binding repeat,0
xerD_2~~~xerD~~~xerD_3,competence-specific global transcription modulator,1
group_3062,TetR family transcriptional regulatorputative DNA-binding transcriptional regulatortranscriptional repressor BetIBacterial regulatory proteins tetR family,0
group_2680,transposaseTransposase and inactivated derivatives IS30 family,1
group_1033,toxin-antitoxin system antitoxin component Xre familyDNA-binding transcriptional repressor PuuRtranscriptional regulator y4mF familyHelix-turn-helix,0
lytA_3~~~lytA_9~~~~~~lytA_2,hypothetical protein,0
group_96,phage putative head morphogenesis protein SPP1 gp7 familyhypothetical proteinNAD+--asparagine ADP-ribosyltransferasephage head morphogenesis protein SPP1 gp7 familyPhage Mu protein F like protein,0
IS861truncation_1~~~IS861truncation_2,transposase orfB ISSmu1Integrase core domain,1
ycjP_3~~~~~~ycjP_1~~~ycjP_4~~~ycjP_5~~~ycjP_2,ABC transporter permeaseInner membrane ABC transporter permease protein ycjPglycerol-3-phosphate transporter membrane proteinABC-type maltose transport systems permease componentmolybdate ABC transporter permease proteinBinding-protein-dependent transport system inner membrane component,1
pepF1_1~~~IS1381truncation,oligoendopeptidase FOligoendopeptidase F plasmidoligoendopeptidase FPeptidase family M3,1
group_4997,transposase-like protein ISSpn_AP200_1,0
group_4381,L7A family ribosomal proteinhypothetical proteinRibosomal protein L30ERibosomal protein L7Ae/L30e/S12e/Gadd45 family,1
group_160,hypothetical protein,1
group_632,major facilitator superfamily permease,1
group_3787,IS1381 transposase OrfA,0
group_2294,transposaseTransposase IS116/IS110/IS902 family,1
folP,dihydropteroate synthaseDihydropteroate synthasedihydropteroate synthasedihydropteroate synthasePterin binding enzyme,1
malA,malA-proteinPredicted integral membrane protein,1
nanA_2~~~nanA_4~~~nanA_3~~~pezT_2~~~atpB_1~~~atpB_2,transposase-like protein IS1239Transposase and inactivated derivatives IS30 family,1
group_891,PTS system transporter subunit IIAPhosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2,1
glnQ_3~~~glnQtruncation~~~trpA_2~~~trpA_1~~~trpA~~~glnQ_4~~~glnQ_1~~~glnQtruncation_2,transcriptional regulator,1
fabG2~~~mtaD_2~~~mtaD_1,repetitive protein,1
group_3522,repetitive protein,0
pblB,PblBPhage-related proteinphage minor structural protein N-terminal regionBaculovirus polyhedron envelope protein PEP C terminus,0
pezA_2~~~pezA_1~~~pezA_3~~~pezA_5~~~pezT_1~~~pezT_2~~~pezT_4~~~pezT_3~~~pezA~~~pezT,transcriptional regulatorAntitoxin PezA,1
prs,ribose-phosphate pyrophosphokinaseRibose-phosphate pyrophosphokinase 2ribose-phosphate pyrophosphokinaseribose-phosphate diphosphokinasePhosphoribosyl transferase domain,0
guaA_2~~~guaA_3~~~guaA_1,GMP synthaseGMP synthase [glutamine-hydrolyzing]GMP synthase3-methyladenine DNA glycosylaseGMP synthase (glutamine-hydrolyzing) C-terminal domainGMP synthase C terminal domain,1
group_3081,conjugative transposon protein,0
pfbA_1~~~~~~pfbA_2~~~pfbA,transposase-like protein IS1381 ISSpn7,1
group_4928,methyl transferase,0
yjjP_2~~~yjjP~~~~~~IS1381truncation~~~yjjP_1~~~hlyB~~~hlyB_3~~~lagD_1~~~lagD_3~~~hlyB_1~~~hlyB_2~~~lagD_4~~~lagD_2,transposase,1
pstA_2~~~pstA_3,phosphate transport system permease PstAPhosphate transport system permease protein pstAphosphate transporter permease subunit PtsAABC-type phosphate transport system permease componentphosphate ABC transporter permease protein PstABinding-protein-dependent transport system inner membrane component,0
IS1381truncation~~~gatC_2~~~gatC_1~~~gatC_3~~~yjjP_2~~~yjjP_1~~~IS1381truncation_1~~~infB_1,transposaseTransposase and inactivated derivativesTransposase DDE domain,1
group_685,PTS system galactose-specific transporter subunit IIBPhosphotransferase system galactitol-specific IIB component,1
group_1684,YpjChypothetical proteinUncharacterized protein conserved in bacteria (DUF2179),1
murE~~~murE_2~~~murE_1,UDP-N-acetylmuramyl tripeptide synthase MurEUDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligaseUDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligaseUDP-N-acetylmuramyl-tripeptide synthetaseMur ligase family glutamate ligase domain,0
pulA_1~~~~~~pulA_2,pullulanasepullulanase extracellular,1
group_3820,Rep protein,1
ndk~~~ndk_2~~~ndk_1,nucleoside diphosphate kinaseNucleoside diphosphate kinasemulitfunctional nucleoside diphosphate kinase/apyrimidinic endonuclease/3'-Nucleoside diphosphate kinaseNucleoside diphosphate kinase,1
guaA_2~~~yhbU_2~~~yhbU_3~~~yhbU_1,peptidase U32 familyputative proteaseCollagenase and related proteases3-isopropylmalate dehydrogenasePeptidase family U32,1
group_713,lantibiotic modifying enzymeLantibiotic modifying enzymetype 2 lantibiotic biosynthesis protein LanMLanthionine synthetase C-like protein,1
group_449,phage proteinUncharacterized phage-encoded proteinPhage regulatory protein Rha (Phage_pRha),1
yhbU_1~~~yhbU_2~~~yhbU_3,U32 family peptidaseUncharacterized protease yhbU precursorputative proteaseCollagenase and related proteasesPeptidase family U32,1
cap3C,glucosephosphate uridylyltransferaseUTP--glucose-1-phosphate uridylyltransferaseUTP--glucose-1-phosphate uridylyltransferase subunit GalUCTP:phosphocholine cytidylyltransferase involved in choline phosphorylation for cell surface LPS epitopesUTP-glucose-1-phosphate uridylyltransferaseNucleotidyl transferase,0
group_1291,thiamine-phosphate pyrophosphorylaseThiamine-phosphate synthasethiamine-phosphate pyrophosphorylaseThiamine monophosphate synthasethiamine-phosphate pyrophosphorylaseThiamine monophosphate synthase/TENI,1
group_2344,Protein of unknown function (DUF567),0
group_3142,hypothetical protein,0
group_635,2-isopropylmalate synthase2-isopropylmalate synthase2-isopropylmalate synthaseIsopropylmalate/homocitrate/citramalate synthases2-isopropylmalate synthaseHMGL-like,1
ycjP_2~~~ycjO_3~~~ycjP_5~~~ycjP_4~~~ycjP_7~~~~~~ycjP_3,ABC transporter permease SP1688Inner membrane ABC transporter permease protein ycjPmaltose transporter permeaseABC-type maltose transport systems permease componentNifC-like ABC-type porterBinding-protein-dependent transport system inner membrane component,1
lmrA_2~~~lmrA~~~~~~ABCMSPtruncation~~~bmrA_2~~~bmrA~~~lmrA_1~~~bmrA_1,ABC transporter ATP-binding proteinMultidrug resistance ABC transporter ATP-binding/permease protein BmrAlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainantigen peptide transporter 2ABC transporter transmembrane region,0
tuf_1~~~tuf_2~~~tuf_3~~~tuf,elongation factor TuElongation factor Tuelongation factor TuGTPases - translation elongation factorstranslation elongation factor TuElongation factor Tu C-terminal domain,1
nfrA2~~~frp~~~nfsA,nitroreductase NADPH-flavin oxidoreductaseNADPH-flavin oxidoreductasenitroreductase A,1
lytA_2~~~cbpJ_2~~~cbpF~~~lytA_3~~~cbpJ_1~~~toxA_3~~~lytA_4~~~lytA_5~~~lytA_6~~~toxA~~~~~~toxA_1~~~lytA_1~~~lytA_7~~~toxA_2,choline binding protein FAutolysinPutative cell wall binding repeat,1
bglF_2~~~bglF~~~bglF_1,PTS system beta-glucoside-specific transporter subunit EIIABCPTS system beta-glucoside-specific IIABC componentphosphotransferase system EIIB,1
lagD_3~~~~~~tcyN,ABC transporter ATP-binding protein/permeasePutative multidrug export ATP-binding/permease protein SAV1866cysteine/glutathione ABC transporter membrane/ATP-binding componentABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainthiol reductant ABC exporter CydD subunitABC transporter transmembrane region,0
group_1193,hypothetical protein,0
lrp_1~~~lrp_2,collagen-binding protein ADNA mismatch repair proteinPredicted outer membrane proteinCna protein B-type domain,1
group_531,membrane protein,1
group_1122,hypothetical protein,1
msbA_2~~~bmrA~~~lmrA_2~~~lmrA_3~~~yheH_1~~~msbA_1,ABC transporter ATP-binding protein/permeaseLipid A export ATP-binding/permease protein MsbAlipid transporter ATP-binding/permease proteinABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainlipid A export permease/ATP-binding protein MsbAABC transporter transmembrane region,1
lagD_2,lantibiotic export proteinLactococcin-G-processing and transport ATP-binding protein LagDABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domainNHLM bacteriocin system ABC transporter peptidase/ATP-binding proteinPeptidase C39 family,0
